RECORDING_SESSION_LABEL	AVERAGE_FIXATION_DURATION	SACCADE_COUNT	VISITED_INTEREST_AREA_COUNT	hunger	recorder_trial	resp	rt	rtype	sim	sub	tar	tcateg	time	tired	tnum	tutra	tuttime
80_rk	1016.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	202.00	7	7	2	187	space	1.85012215393	cr	False	80_rk	False	Cats	1689.11	3	273	NA	NA
80_rk	1016.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	194.50	7	5	2	299	space	1.73484658822	cr	False	80_rk	False	Cats	1694.39	3	274	0	21.62
80_rk	1016.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	203.33	8	6	2	202	space	2.07494405477	cr	False	80_rk	False	Cats	1700.9	3	275	NA	NA
80_rk	1014.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	208.50	7	5	2	85	space	1.92420334183	cr	True	80_rk	True	Cats	1706.44	3	276	NA	NA
80_rk	1000.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	356.00	3	3	2	161	return	1.11761087785	hi	False	80_rk	True	Cats	1712.09	3	277	NA	NA
80_rk	1000.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	213.75	7	7	2	287	space	1.95598865882	cr	False	80_rk	False	Cats	1716.64	3	278	0	21.17
80_rk	1014.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	435.60	4	4	2	217	return	2.32342258294	hi	False	80_rk	True	Cats	1723.42	3	279	NA	NA
80_rk	1012.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	255.11	8	8	2	283	space	2.63995432749	cr	False	80_rk	False	Cats	1729.2	3	280	NA	NA
80_rk	1014.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
80_rk	245.43	6	7	2	118	space	1.92371069401	cr	False	80_rk	False	Cats	1735.31	3	281	NA	NA
